title,dealer,type,location,min_level,requirements,previous,leads_to,objectives,rewards,exp
Textile - Part 1,Ragman,PickUp,,40,Must be level 40 to start this quest.,Sew it good - Part 4,Textile - Part 2,"Obtain in raid 5 pcs. of Aramid fiber cloth,Obtain in raid 10 pcs. of Ripstop cloth,Obtain in raid 3 pcs. of Paracord,Hand over Aramid fiber cloth 5 pcs.,Hand over Ripstop cloth 10 pcs.,Hand over Paracord 3 pcs.","100,000 Roubles",0
The stylish one,Ragman,Elimination,Interchange,0,,The key to success,,Eliminate Killa 100 times,"100,000 Roubles,Adik Tracksuit clothing",0
Mentor,Peacekeeper,Skill,,0,,Wet Job - Part 4,,"Handover 50,000 euros",+3 Sniper Rifles Levels,0
An apple a day - keeps the doctor away,Therapist,Completion,,0,,Health Care Privacy - Part 3,,"Handover 400,000 roubles",+2 Health Levels,0
Reserv,Jaeger,Completion,Reserve,0,,Huntsman path - Secured perimeter,,Find the food storage,"+9,000 EXP,Jaeger Rep +0.03,16,000 Roubles,Silicone tube,3x A pack of nails,3x A pack of screws",9000
Hunting trip,Jaeger,Completion,,0,,Huntsman path - Woods keeper,,"Give the Jaeger 3x M700 sniper rifles of a certain configuration (recoil less than 600, ergonomics more than 50)","+16,000 EXP,Jaeger Rep +0.04,60,000 Roubles,VPX Flash Storage Module,Military thermal vision module Iridium,Unlocks purchase of Remington Model 700 Sniper rifle ARCH variant at LL3",16000
Regulated materials,Prapor,PickUp,Reserve,25,Must be level 25 to start this quest.,Polikhim hobo,,"Find in raid military battery,Handover military battery,Find in raid 10 30-mil. shells for BMP cannon,Handover 10 30-mil. shells for BMP cannon","150,000 Roubles,Unlocks the trade of ASh-12 12.7x55 assault rifle at LL4",0
Courtesy visit,Jaeger,Completion,Shoreline,0,,The survivalist path - Tough guy,Nostalgia,"Find priest house,Find fisherman house,Find chairman house","10,000 EXP,Jaeger Rep +0.03,35,000 Roubles",10000
Fishing place,Jaeger,Completion,Any,0,,Huntsman path - Woods cleaning,,"Find in raid 3 TerraGroup Labs access keycards,Handover 3 TerraGroup Labs access keycards","+15,000 EXP,Jaeger Rep +0.04,75,000 Roubles",15000
Nostalgia,Jaeger,Completion,Shoreline,28,Must be level 28 to start this quest.,Courtesy visit,,"Find a room with the view of a bay, where Jaeger was staying,Find Jaegers' photo album,Handover photo album to Jaeger","+10,000 EXP,Jaeger Rep +0.03,30,000 Roubles,Documents case,Key to HEP station storage",10000
Shady business,Jaeger,PickUp,Any,20,Must be level 20 to start this quest.,What's on the flash drive?,,"Find in raid 3 flash drives,Handover 3 flash drives","+11,000 EXP,Jaeger Rep +0.04,50,000 Roubles",11000
Ambulance,Jaeger,Completion,Any,0,,The survivalist path - Cold blooded,,"Handover 3 CMS surgery kits,Handover 2 portable defibrillators","+12,000 EXP,Jaeger Rep +0.3,35,000 Roubles,Unlocks purchase of Surv12 field surgical kit,+1 Vitality Level",12000
Huntsman path - Eraser - Part 2,Jaeger,Completion,"The Lab,Reserve",0,,Huntsman path - Eraser - Part 1,,Eliminate 10 raiders,"+17,000 EXP,Jaeger Rep +0.04,80,000 Roubles,Trijicon REAP-IR thermal riflescope",17000
Huntsman path - Eraser - Part 1,Jaeger,Completion,Reserve,0,,Huntsman path - Woods keeper,Huntsman path - Eraser -  Part 2,Find and eliminate Glukhar,"+30,000 EXP,Jaeger Rep +0.05,199,999 Roubles,5,000 Dollars,Weapon case",30000
Huntsman path - Evil watchman,Jaeger,Completion,Customs,0,,Huntsman path - Woods cleaning,,Kill 10 PMCs in the Dorms area on Customs,"+20,000 EXP,Jaeger Rep +0.04,75,000 Roubles,2x Folder with intelligence,2x Secure Flash drive",20000
Huntsman path - Justice,Jaeger,Completion,Customs,0,,Huntsman path - The trophy,,Kill 3 scavs that are dressed in police uniform,"+20,000 EXP,Jaeger Rep +0.05,80,000 Roubles,5x Expeditionary fuel tank",20000
Huntsman path - Woods keeper,Jaeger,Completion,Woods,0,,Huntsman path - Sell-out,"Huntsman path - Eraser - Part 1,Hunting trip","Eliminate Shturman,Find in raid Shturman's key,Handover the Shturman's stash key to Jaeger","+25,000 EXP,Jaeger Rep +0.05,17,000 Roubles,4x Gunpowder ""Hawk"",VPX Flash Storage Module,3x TerraGroup Labs access keycard",25000
Huntsman path - Sell-out,Jaeger,Elimination,Interchange,0,,Huntsman path - The trophy,Huntsman path - Woods keeper,"Eliminate Killa,Find in raid Killa's helmet,Handover Killa's helmet to Jaeger","+23,000 EXP,Jaeger Rep +0.05,150,000 Roubles,3x Folder with intelligence,Key to IDEA cash register,Key to OLI cash register",23000
Huntsman path - Controller,Jaeger,Completion,Any,0,,Huntsman path - Woods cleaning,,Kill 3 PMCs blinded with the flashbang,"+21,000 EXP,Jaeger Rep +0.04,49,999 Roubles,EOtech Vudu 1-6 riflescope",21000
Huntsman path - Woods cleaning,Jaeger,Completion,Any,0,,Huntsman path - Secured perimeter,"Huntsman path - Controller,Huntsman path - Evil watchman,Fishing place",Kill 50 scavs all over the Tarkov territory,"+18,000 EXP,Jaeger Rep +0.04,50,000 Roubles,2x Remington Model 700 Sniper rifle",18000
Huntsman path - The trophy,Jaeger,Completion,Customs,0,,Huntsman path - Secured perimeter,"Huntsman path - Justice,Huntsman path - Sell-out","Eliminate Reshala,Find in raid the golden TT,Handover golden TT to Jaeger","+20,000 EXP,Jaeger Rep +0.05,90,000 Roubles,Surv12 field surgical kit,4x Gunpowder ""Kite"",5x Piece of plexiglas",20000
Huntsman path - Secured perimeter,Jaeger,,Factory,0,,The survivalist path - Wounded beast,"Huntsman path - The trophy,Reserv,Huntsman path - Woods cleaning",Eliminate 10 PMС on Factory in the office area,"+14,000 EXP,Jaeger Rep +0.03,35,000 Roubles,2x Pliers Elite,A set of tools,2x Nippers,2 Corrugated hose",14000
The survivalist path - Combat medic,Jaeger,Completion,Any,0,,The survivalist path - Cold blooded,,Reach level 5 Vitality skill,"+14,000 EXP,Jaeger Rep +0.04,30,000 Roubles,Vitality: +2 points",14000
The survivalist path - Eagle-owl,Jaeger,Completion,Any,0,,The survivalist path - Zatoichi,,Kill 10 scavs between 21:00 and 03:00 without using NVG or Thermal sights,"+13,000 EXP,Jaeger Rep +0.03,40,000 Roubles,3x Vulcan MG night scope 3.5x",13000
The survivalist path - Zatoichi,Jaeger,Completion,Any,0,,The survivalist path - Cold blooded,The survivalist path - Eagle-owl,Kill 2 PMC operators while being blinded by flashbang grenade,"+12,000 EXP,Jaeger Rep +0.03,30,000 Roubles,30x 12x70 RIP,80x 5.56x45 mm Warmage",12000
The survivalist path - Cold blooded,Jaeger,Completion,Any,0,,The survivalist path - Wounded beast,"The survivalist path - Zatoichi,The survivalist path - Combat medic,Ambulance",Eliminate 4 PMCs with the headshot while having tremor,"+11,000 EXP,Jaeger Rep +0.04,50,000 Roubles",11000
The survivalist path - Tough guy,Jaeger,Completion,Woods,0,,The survivalist path - Wounded beast,Courtesy visit,"Eliminate 5 scavs on Woods in a single raid. You must not use medicine.,Don't use any medicine during the quest","+12,000 EXP,40,000 Roubles,CMS kit,3 x Pile of meds",12000
The survivalist path - Wounded beast,Jaeger,Completion,Any,0,,The survivalist path - Zhivchik,"The survivalist path - Tough guy,The survivalist path - Cold blooded,Huntsman path - Secured perimeter",Kill 5 scavs while suffering from pain effect,"+10,000 EXP,65,000 Roubles",10000
The survivalist path - Zhivchik,Jaeger,Experience,Any,0,,The survivalist path - Thrifty,The survivalist path - Wounded beast,"Spend 5 minutes in a state of complete dehydration,Survive and extract","+9,000 EXP,Jaeger Rep +0.03,30,000 Roubles,2x Water bottle with a filter Aquamari",9000
The survivalist path - Thrifty,Jaeger,Completion,Woods,0,,Acquaintance,The survivalist path - Zhivchik,"Stash ""Iskra"" MRE (Lunchbox) in the ZB-016 bunker,Stash bottle of water in the ZB-016 bunker,Stash ""Iskra"" MRE (Lunchbox) in the ZB-014 bunker,Stash bottle of water in the ZB-014 bunker","+6,500 EXP,Jaeger Rep +0.04,20,000 Roubles,2x Phase control relay",6500
"The survivalist path - Unprotected, but dangerous",Jaeger,Completion,Woods,0,,Acquaintance,,Kill 7 scavs on Woods. You should not wear body armor.,"+7000 EXP,Jaeger Rep +0.04,20,000 Roubles,2x Vepr AKM / VPO-209 366TKM carbine,200x .366 TKM EKO",7000
Acquaintance,Jaeger,Completion,Any,0,,Introduction,"The survivalist path - Unprotected, but dangerous,The survivalist path - Thrifty,""The Tarkov shooter"" - Part 1","Get 5 Iskra lunch box,Get 6 packs of Emelya rye croutons,Get 3 cans of delicious beef stew","+4,000 EXP,Jaeger Rep +0.04,15,000 Roubles",4000
Introduction,Mechanic,Completion,Woods,0,,Gunsmith - Part 1,Acquaintance,"Find Jaeger's camp,Find Jaeger's message,Handover the message to the Mechanic","+4,500 EXP,Mechanic Rep +0.05,15,000 Roubles,Unlocks Jaeger",4500
Hippocratic Vow,Therapist,Completion,,0,"Complete Stirrup,Complete Car repair,Have less than 0.6 reputation with Therapist","Stirrup,Car repair",,Handover 500 dollars.,Therapist Rep +0.2,0
Collector,Fence,PickUp,,0,"Complete all quests. The following are not required and do not need to be completed:,""Multiple choice"" quests like Supply plans/Kind of sabotage,An apple a day - keeps the doctor away,Charisma brings success,Hippocratic Vow,Hunting trip,Huntsman path. Controller,Huntsman path. Evil watchman,Import,Loyalty buyout,Mentor,No offence,Regulated materials,Textile - Part 1,Textile - Part 2,The stylish one,Trust regain",,,"Find an Old firesteel in raid,Handover the Old firesteel,Find an Antique axe in raid,Handover the Antique axe,Find a Battered antique Book in raid,Handover the Battered antique Book,Find a FireKlean gun lube in raid,Handover the FireKlean gun lube,Find a Golden rooster in raid,Handover the Golden rooster,Find a Silver Badge in raid,Handover the Silver Badge,Find a Deadlyslob's beard oil in raid,Handover the Deadlyslob's beard oil,Find a Golden 1GPhone in raid,Handover the Golden 1GPhone,Find a Jar of DevilDog mayo in raid,Handover the Jar of DevilDog mayo,Find a Can of sprats in raid,Handover the Can of sprats,Find a Fake mustache in raid,Handover the Fake mustache,Find a Kotton beanie in raid,Handover the Kotton beanie",Secure container Kappa,0
Import,Mechanic,PickUp,,35,Must be level 35 to start this quest.,Farming - Part 4,,"Handover 2 UHF RFID Readers,Handover 2 VPX Flash Storage Modules","+42,800 EXP,Mechanic Rep +0.07,Jaeger Rep -0.01,Trijicon REAP-IR thermal riflescope,85,000 Roubles,3x Physical bitcoin",42800
The guide,Peacekeeper,Exploration,"Interchange,Shoreline,Factory,The Lab,Woods,Customs,Reserve",0,,Wet Job - Part 6,,"Survive at Interchange (Status: Survived),Survive at Shoreline (Status: Survived),Survive at Factory (Status: Survived),Survive at Laboratory (Status: Survived),Survive at Woods (Status: Survived),Survive at Customs (Status: Survived),Survive at Reserve (Status: Survived)","+35,100 EXP,Peacekeeper Rep +0.12,25,000 Dollars,Eotech HHS-1 sight Tan,SLAAP armor Plate (Tan),3x Arsenal CWP 30-round 5.56x45 magazine for SLR-106 and compatible weapons,Unlocks purchase of Eotech HHS-1 sight Tan at LL4,Unlocks purchase of SLAAP armor Plate (Tan) at LL4,Unlocks purchase of Arsenal CWP 30-round 5.56x45 magazine for SLR-106 and compatible weapons at LL2",35100
Peacekeeping mission,Peacekeeper,Elimination,"Woods,Interchange,Shoreline,Customs",0,,Lend lease - Part 2,,"Kill 12 Scavs on Customs while dressed in the UN uniform (UNTAR helmet, MF-UNTAR armor vest, Colt M4A1),Kill 12 Scavs on Interchange while dressed in the UN uniform (UNTAR helmet, MF-UNTAR armor vest, Colt M4A1),Kill 12 Scavs on Shoreline while dressed in the UN uniform (UNTAR helmet, MF-UNTAR armor vest, Colt M4A1),Kill 12 Scavs on Woods while dressed in the UN uniform (UNTAR helmet, MF-UNTAR armor vest, Colt M4A1)","+32,400 EXP,Peacekeeper Rep +0.12,150x 7.62x51 mm M61,2x GPNVG-18 Night Vision,Remington Model 700 Sniper rifle",32400
Decontamination service,Therapist,Elimination,Interchange,0,,"Health Care Privacy - Part 5,Private clinic",,"Kill 30 Scavs at the Interchange, from the range less than 60 meters.You must be wearing spec. gear","+21,600 EXP,300,000 Roubles,Therapist Rep +0.11,3x Morphine injector,3x IFAK personal tactical first aid kit",21600
Perfect mediator,Prapor,Skill,,35,Must be level 35 to start this quest.,Shaking up teller,,"Reach 4-th level of standing with Ragman,Reach 4-th level of standing with Skier,Reach 4-th level of standing with Mechanic,Reach 4-th level of standing with Peacekeeper,Reach 4-th level of standing with Prapor,Reach 4-th level of standing with Therapist","+17,200 EXP,Prapor Rep +0.9,55,000 Roubles,T H I C C Weapon case",17200
Grenadier,Prapor,Elimination,,30,Must be level 30 to start this quest.,Shaking up teller,"Insomnia,Test drive - Part 1",Kill 12 PMC's with grenades,"+21,300 EXP,50,000 Roubles,7x F-1 Hand grenade,240x 5.45x39 mm BT,Unlocks barter for 8 pcs pack of 9x39 7N12 BP ammo at LL4",21300
Setup,Skier,Elimination,Customs,0,,Bullshit,,Kill 15 PMC's at Customs. You must be wearing spec. gear,"+29,300 EXP,Skier +0.07,100,000 Roubles,Unlocks barter for 20 pcs. 9x19 mm DIPP ammo box at LL4",29300
Living high is not a crime - Part 2,Ragman,PickUp,,0,,The Blood of War - Part 3,,"Find in raid 3 antique teapots,Find in raid 2 antique vases,Handover 3 antique teapots,Handover 2 antique vases","+29,600 EXP,110,000 Roubles,Ragman Rep +0.12,2x Zhuk-6a heavy armor,2x Altyn helmet,2x Altyn face shield",29600
Scavenger,Ragman,Skill,,0,,Hot delivery,,Earn 9 Search skill level,"+15,400 EXP,Ragman Rep +0.11,65,000 Roubles,Unlocks barter for Crash Axe at LL4",15400
Fertilizers,Mechanic,PickUp,,30,Must be level 30 to start this quest.,Farming - Part 4,,"Find 5 Wires in a raid,Find 5 Capacitors in a raid,Handover 5 Wires,Handover 5 Capacitors","+19,500 EXP,Mechanic Rep +0.06,3x Physical bitcoin,65,000 Roubles",19500
Lend lease - Part 2,Peacekeeper,PickUp,,30,Must be level 30 to start this quest.,Lend lease - Part 1,Peacekeeping mission,"Find 2 Military COFDM wireless Signal Transmitters,Find 3 Virtex programmable processors,Handover 2 Military COFDM wireless Signal Transmitters,Handover 3 Virtex programmable processors","+22,200 EXP,Peacekeeper Rep +0.09,2x HK 416A5 5.56x45 Assault Rifle,300x 5.56x45 mm M995,2x Magpul PMAG D-60 5.56x45 60-round magazine,2x 60-round MAG5-60 5.56x45 STANAG magazine,2,000 Dollars",22200
Athlete,Therapist,Skill,,30,Must be level 30 to start this quest.,Health Care Privacy - Part 4,,Earn 10 Health skill level,"+19,600 EXP,Therapist Rep +0.11,3x Hemostatic drug Zagustin,3x Adrenaline injector,Unlocks purchase of Adrenaline injector at LL4,110,000 Roubles",19600
Private clinic,Therapist,Completion,,30,Must be level 30 to start this quest.,Health Care Privacy - Part 4,Decontamination service,"Find 3 Ophthalmoscopes,Find 3 LEDX Skin Transilluminators,Handover 3 Ophthalmoscopes,Handover 3 LEDX Skin Transilluminators","+20,100 EXP,130,000 Roubles,Therapist Rep +0.11,1x T H I C C Items case,1x West wing room 306 key",20100
Psycho Sniper,Mechanic,Skill,,0,,Wet Job - Part 6,,Upgrade the Sniper skill to level 9,"+32,400 EXP,150,000 Roubles,+1 level Intellect,+1 level Sniper Rifles,+1 level Stress Resistance,+1 level Perception",32400
A Shooter Born in Heaven,Mechanic,Elimination,"Woods,Interchange,Shoreline,Customs",0,,Farming - Part 4,,"Kill 3 PMCs with headshots in the Woods from a distance of more than 100 meters.,Kill 3 PMCs with headshots in the Interchange from a distance of more than 100 meters.,Kill 3 PMCs with headshots in the Shoreline from a distance of more than 100 meters.,Kill 3 PMCs with headshots in the Customs from a distance of more than 100 meters.","+39,500 EXP,100,000 Roubles,4x 7.62x54r ProMag OPFOR for Archangel Mosin rifle kit, 10-round capacity,100x 7.62x54R SNB,1x Mosin bolt-action sniper rifle,Mechanic Rep +0.06,Unlocks purchase of Magazine case at LL3",39500
Flint,Skier,Skill,,0,,Chumming,,Earn 8 Stress Resistance skill level,"+20,000 EXP,Skier Rep +0.08,150,000 Roubles,Unlocks barter for M-2 Tactical Sword at LL4",20000
Test drive - Part 1,Prapor,Elimination,,0,,Grenadier,,Kill 20 PMC's using an M1A with a Hybrid 46 silencer and a Trijicon REAP-IR thermal scope,"+31,000 EXP,300,000 Roubles,Prapor Rep +0.12,2x RPK-16 5.45x39 light machine gun,6x 95-round 5.45x39 magazine for RPK-16 and compatibles,5x Golden neck chain",31000
Insomnia,Prapor,Elimination,,0,,Grenadier,,Kill 30 PMC's during nighttime (23 to 04),"+18,500 EXP,85,000 Roubles,3x PNV-10T Night Vision,3x 2P Klesch flashlight + laser designator",18500
Bullshit,Skier,Discovery,Customs,0,,Chumming,Setup,"Find False flash drive,Put False flash drive (Dorms, 3-rd floor. Pile of trash opposite the stairs),Put sniper rifle SV-98 (Dorms, 3-rd floor. Pile of trash opposite the stairs,Put Roler watch (Dorms, 3-rd floor. Pile of trash opposite the stairs)","+29,700 EXP,120,000 Roubles,Unlocks barter for 5 pcs. 12x70 DIPP ammo box at LL3,Skier Rep +0.07",29700
Silent caliber,Skier,Elimination,,0,,Chumming,,"Kill 20 Scavs with a suppressed 12 gauge shotgun,Kill 10 PMC's with a suppressed 12 gauge shotgun","+12,900 EXP,Skier Rep +0.09,100,000 Roubles,DVL-10 Saboteur sniper rifle",12900
"""The Tarkov shooter"" - Part 8",Jaeger,Elimination,Woods,0,,"""The Tarkov shooter"" - Part 7",,Kill 3 PMC operatives with a Mosin over one raid in the Woods,"+25,200 EXP,Jaeger Rep +0.06,200,000 Roubles,ProMag Archangel OPFOR PRS Mosin rifle stock,7.62x54r ProMag OPFOR for Archangel Mosin rifle kit, 10-round capacity,Unlocks purchase of ProMag Archangel OPFOR PRS Mosin rifle stock at LL4,Unlocks purchase of 7.62x54r ProMag OPFOR for Archangel Mosin rifle kit, 10-round capacity at LL4",25200
"""The Tarkov shooter"" - Part 7",Jaeger,Elimination,,0,,"""The Tarkov shooter"" - Part 6","""The Tarkov shooter"" - Part 8",Kill 7 PMC operatives with a suppressed Mosin at least 70 meters away,"+20,700 EXP,Jaeger Rep +0.04,85,000 Roubles,Witt Machine muzzlebrake for Mosin rifle,Unlocks purchase of Witt Machine muzzlebrake for Mosin rifle at LL3",20700
"""The Tarkov shooter"" - Part 6",Jaeger,Elimination,,0,,"""The Tarkov shooter"" - Part 5","""The Tarkov shooter"" - Part 7",Kill 10 Scav snipers with a Mosin,"+20,300 EXP,Jaeger Rep +0.04,50,000 Roubles,ATI Monte Carlo Mosin rifle stock,Unlocks purchase of ATI Monte Carlo Mosin rifle stock at LL3",20300
"""The Tarkov shooter"" - Part 5",Jaeger,Elimination,Customs,0,,"""The Tarkov shooter"" - Part 4","""The Tarkov shooter"" - Part 6",Kill 10 Scavs at Customs with a Mosin rifle between 23:00 and 4:00,"+20,000 EXP,Jaeger Rep +0.04,75,000 Roubles,Texas Precision Products muzzlebrake for Mosin rifle,Unlocks purchase of Texas Precision Products muzzlebrake for Mosin rifle at LL3",20000
"""The Tarkov shooter"" - Part 4",Jaeger,Elimination,,0,,"""The Tarkov shooter"" - Part 3","""The Tarkov shooter"" - Part 5",Level up the Sniper Rifles skill to 5,"+16,400 EXP,Jaeger Rep +0.04,57,000 Roubles,Aim Sports ""Tri-Rail"" rail for Mosin rifle,Tacfire pistol grip for Mosin rifle,Unlocks purchase of Aim Sports ""Tri-Rail"" rail for Mosin rifle at LL2,Unlocks purchase of Tacfire pistol grip for Mosin rifle at LL2",16400
"""The Tarkov shooter"" - Part 3",Jaeger,Elimination,,0,,"""The Tarkov shooter"" - Part 2","""The Tarkov shooter"" - Part 4","Kill 5 PMC operatives with a Mosin at close range, less than 15 meters away","+16,200 EXP,Jaeger Rep +0.04,Kinda cowboy hat,Tacfire Tanker style muzzlebrake for Mosin rifle,Recoil pad from Aim Sports for Mosin rifle,Unlocks purchase of Tacfire Tanker style muzzlebrake for Mosin rifle at LL2,Unlocks purchase of Recoil pad from Aim Sports for Mosin rifle at LL2",16200
"""The Tarkov shooter"" - Part 2",Jaeger,Elimination,,0,,"""The Tarkov shooter"" - Part 1","""The Tarkov shooter"" - Part 3","Make 5 hits in the legs from more than 80 metres away with a Mosin,Make 3 headshots from more than 80 metres away with a Mosin","+19,200 EXP,Jaeger Rep +0.05,65,000 Roubles,Aim Sports MNG rail for Mosin rifle,Unlocks purchase of Aim Sports MNG rail for Mosin rifle at LL1",19200
"""The Tarkov shooter"" - Part 1",Jaeger,Elimination,,0,,"Acquaintance,Gunsmith - Part 5","""The Tarkov shooter"" - Part 2",Kill 10 Scavs over 50 meters away with a Mosin rifle without a scope,"+18,900 EXP,Jaeger Rep +0.05,50,000 Roubles,2x PU 3.5x riflescope,2x PU 3.5x ring mount,2x Kochetov Mount for Mosin rifle",18900
Lend lease - Part 1,Skier,PickUp,"Shoreline,Woods",25,Must be level 25 to start this quest.,Friend from the West - Part 2,Lend lease - Part 2,"Get first Motor Controller,Hand over first controller,Get second Motor Controller,Hand over second controller,Get third Motor Controller,Hand over third controller,Get first Single-axis Fiber Optic Gyroscope,Hand over first Single-axis Fiber Optic Gyroscope,Get second Single-axis Fiber Optic Gyroscope,Hand over second Single-axis Fiber Optic Gyroscope","20,000 EXP,Skier Rep +0.12,3,500 Dollars",20000
